id;hashed_token;created_date;updated_date;status
1;anneal agitated;2025-06-06T11:42:46;2025-06-06T10:08:08;EXPIRED
2;separately hassle characterization;2025-06-06T00:31:51;2025-06-06T16:00:38;EXPIRED
3;owlishly beside;2025-06-06T08:08:35;2025-06-06T04:06:17;ACTIVE
4;hence even;2025-06-05T21:55:24;2025-06-06T14:38:01;EXPIRED
5;abaft respray lest;2025-06-06T04:14:50;2025-06-05T18:39:43;USED
6;eek once;2025-06-06T05:34:47;2025-06-05T17:55:03;EXPIRED
7;apud;2025-06-06T04:41:20;2025-06-05T17:14:45;USED
8;supposing confirm;2025-06-06T10:21:57;2025-06-06T10:14:13;EXPIRED
9;yin self-reliant;2025-06-05T23:04:44;2025-06-06T05:16:17;INACTIVE
10;far;2025-06-05T23:21:30;2025-06-05T20:19:06;INACTIVE
